Gear,Temp,SpC,Turb,Tide,Julian Day,CPUE
Beach Seine,17.2,113,6.7,2,164,3098.571012
Beach Seine,17.9,110,8,2,164,38020.83333
Beach Seine,18,111,18.2,2,164,38745.98071
Beach Seine,21.6,131,54.6,2,177,23714.75954
Beach Seine,21.9,127,24.9,2,177,2269.04376
Beach Seine,21.9,124,109,2,177,10742.70557
Beach Seine,22.6,122,13.5,2,191,2735.56231
Beach Seine,23.1,120,12.7,2,191,5952.380952
Beach Seine,23.5,120,25.9,2,191,18777.29258
Beach Seine,22.2,162,13.2,4,219,6271.379704
Beach Seine,23.1,175,9.8,4,219,45714.28571
Beach Seine,23,228,9.8,4,219,244041.4508
Beach Seine,20.9,178,13.5,2,233,4328.018223
Beach Seine,21.2,183,8.5,2,233,66265.06024
Beach Seine,21.5,257,19.2,2,233,30736.84211
Townet,17.6,114,8.5,2,164,10.19534602
Townet,17.6,114,8.5,2,164,0
Townet,17.6,114,8.5,2,164,20.6170963
Townet,21.2,146,26.9,2,177,111.2395706
Townet,21.2,146,26.9,2,177,72.32003746
Townet,21.2,146,26.9,2,177,88.77799981
Townet,22.1,127,34.6,2,191,77.37239511
Townet,22.1,127,34.6,2,191,111.1350687
Townet,22.1,127,34.6,2,191,111.7317077
Townet,22.1,150,22.1,2,219,1127.154334
Townet,22.1,150,22.1,2,219,838.9915494
Townet,22.1,150,22.1,2,219,322.3274852
Townet,21,1514,21,2,233,777.8331085
Townet,21,1514,21,2,233,162.8560597
Townet,21,1514,21,2,233,397.6663189
Lampara,20.5,184,7.2,2,162,192.3076923
Lampara,22.7,509,11,2,204,7296.137339
Lampara,22.8,498,8.9,2,204,133717.5793
Lampara,22,368,6,4,218,20523.13883
Lampara,22.5,509,4.8,4,218,69873.41772
Lampara,22.4,554,6.1,4,218,125925.9259
Lampara,21.8,383,14.9,4,232,16119.40299
Lampara,22.1,919,14.8,4,232,15650.4065
Lampara,22.1,919,14.8,4,232,51080.24691
Townet,20.2,146,10.4,2,162,0
Townet,22.6,140,11.1,4,204,0
Townet,22.6,140,11.1,4,204,0
Townet,21.9,143,6.2,4,218,9.739312718
Townet,21.9,143,6.2,4,218,0
Townet,21.9,143,6.2,4,218,0
Townet,21.5,161,8.3,2,232,10.19887812
Townet,21.5,161,8.3,2,232,0
Townet,21.5,161,8.3,2,232,0
