SampleID,Target
EAV_801-1-12MAR2018,EAV
EAV1-01NOV2018,EAV
EAV10-26MAR2018,EAV
EAV10-27MAR2017,EAV
EAV10-29MAR2018,EAV
EAV1-02MAR2018,EAV
EAV10-3APR2017,EAV
EAV1-09APR2018,EAV
EAV1-10APR2017,EAV
EAV1-10MAY2018,EAV
EAV1-11APR2017,EAV
EAV11-29MAR2018,EAV
EAV1-12MAR2018,EAV
EAV11-3APR2017,EAV
EAV1-13APR2017,EAV
EAV1-13APR2018,EAV
EAV1-14FEB2017,EAV
EAV1-15OCT2018,EAV
EAV1-20MAR2018,EAV
EAV1-22MAR2018,EAV
EAV12-3APR2017,EAV
EAV1-23JAN2018,EAV
EAV1-23MAR2018,EAV
EAV1-25APR2017,EAV
EAV1-25jan2017,EAV
EAV1-27MAR2017,EAV
EAV1-27MAR2018,EAV
EAV1-29Mar2017,EAV
EAV1-29MAR2018,EAV
EAV1-30MAR2017,EAV
EAV1-3APR2017,EAV
EAV1-4APR2017,EAV
EAV1-5JUN2018,EAV
EAV1-6APR2017,EAV
EAV1B-13MAR2018,EAV
EAV1P-29MAR2018,EAV
EAV1S-13MAR2018,EAV
EAV1W-12MAR2018,EAV
EAV2-02MAR2018,EAV
EAV2-09APR2018,EAV
EAV2-10APR2017,EAV
EAV2-10MAY2018,EAV
EAV2-11APR2017,EAV
EAV2-12MAR2018,EAV
EAV2-13APR2017,EAV
EAV2-14FEB2017,EAV
EAV2-15OCT2018,EAV
EAV2-17OCT2018,EAV
EAV2-20MAR2018,EAV
EAV2-23JAN2018,EAV
EAV2-23MAR2018,EAV
EAV2-25APR2017,EAV
EAV2-25jan2017,EAV
EAV2-26MAR2018,EAV
EAV2-27MAR2017,EAV
EAV2-29MAR2017,EAV
EAV2-30MAR2017,EAV
EAV2-3APR2017,EAV
EAV2-4APR2017,EAV
EAV2-5JUN2018,EAV
EAV2-6APR2017,EAV
EAV2B-13MAR2018,EAV
EAV2P-29MAR2018,EAV
EAV2S-13MAR2018,EAV
EAV3-01NOV2018,EAV
EAV3-10APR2017,EAV
EAV3-10MAY2018,EAV
EAV3-11APR2017,EAV
EAV3-12MAR2018,EAV
EAV3-13APR2017,EAV
EAV3-13APR2018,EAV
EAV3-15OCT2018,EAV
EAV3-17OCT2018,EAV
EAV3-22MAR2018,EAV
EAV3-23MAR2018,EAV
EAV3-23OCT2018,EAV
EAV3-25APR2017,EAV
EAV3-26MAR2018,EAV
EAV3-29MAR2017,EAV
EAV3-29MAR2018,EAV
EAV3-3APR2017,EAV
EAV3-4APR2017,EAV
EAV3-6APR2017,EAV
EAV4-01NOV2018,EAV
EAV4-09APR2018,EAV
EAV4-10APR2017,EAV
EAV4-10MAY2018,EAV
EAV4-11APR2017,EAV
EAV4-12MAR2018,EAV
EAV4-13APR2017,EAV
EAV4-13APR2018,EAV
EAV4-17OCT2018,EAV
EAV4-20MAR2018,EAV
EAV4-22MAR2018,EAV
EAV4-23MAR2018,EAV
EAV4-25APR2017,EAV
EAV4-26MAR2018,EAV
EAV4-27MAR2018,EAV
EAV4-29MAR2017,EAV
EAV4-29MAR2018,EAV
EAV4-30MAR2017,EAV
EAV4-3APR2017,EAV
EAV4-4APR2017,EAV
EAV4-6APR2017,EAV
EAV4B-13MAR2018,EAV
EAV5-10APR2017,EAV
EAV5-11APR2017,EAV
EAV5-13APR2017,EAV
EAV5-13APR2018,EAV
EAV5-17OCT2018,EAV
EAV5-20MAR2018,EAV
EAV5-23MAR2018,EAV
EAV5-25APR2017,EAV
EAV5-26MAR2018,EAV
EAV5-29MAR2017,EAV
EAV5-29MAR2018,EAV
EAV5-30MAR2017,EAV
EAV5-3APR2017,EAV
EAV5-4APR2017,EAV
EAV5-6APR2017,EAV
EAV5B-13MAR2018,EAV
EAV6-23MAR2018,EAV
