"","site","sitetype","targets2","Region2","Year","mCPUE","sdCPUE","seCPUE","N"
"1","Blacklock","tidal","mysids","NurseDenverton",2018,20.4752520022124,29.0009156847301,4.83348594745501,6
"2","Blacklock","tidal","neuston","NurseDenverton",2018,3.6494700234634,5.89192747761777,1.47298186940444,4
"3","Blacklock","tidal","vegetation","NurseDenverton",2018,65.75,52.2071195655663,13.0517798913916,4
"4","Bradmoor","diked","benthic","NurseDenverton",2018,0,0,0,4
"5","Bradmoor","diked","mysids","NurseDenverton",2018,433.171335704013,NA,NA,1
"6","Bradmoor","diked","neuston","NurseDenverton",2018,6.62185857290483,NA,NA,1
"7","Bradmoor","diked","vegetation","NurseDenverton",2018,65.25,54.8784370872828,6.85980463591035,8
"8","Broad","channel","benthic","Confluence",2017,4522.46972099007,4467.77819379328,893.555638758656,5
"9","Broad","channel","benthic","Confluence",2018,246.609124537608,174.37898426302,87.1894921315102,2
"10","Broad","channel","mysids","Confluence",2017,0.91593494399535,1.00468241821169,0.143526059744527,7
"11","Broad","channel","mysids","Confluence",2018,1.25986070934718,2.02974417783233,0.202974417783233,10
"12","Broad","channel","neuston","Confluence",2017,2.29934863534213,4.70541541378119,0.941083082756238,5
"13","Broad","channel","neuston","Confluence",2018,3.73190075098618,4.77658476328707,0.530731640365229,9
"14","Broad","channel","vegetation","Confluence",2017,11,6.95701085237043,1.15950180872841,6
"15","Broad","channel","vegetation","Confluence",2018,6.33333333333333,2.3094010767585,0.769800358919501,3
"16","Browns","tidal","benthic","Confluence",2017,14435.8255800919,18453.7954747881,3690.75909495763,5
"17","Browns","tidal","mysids","Confluence",2017,1.17698646092204,1.5093828281976,0.167709203133067,9
"18","Browns","tidal","mysids","Confluence",2018,5.15890894361894,7.10959470745846,0.789954967495385,9
"19","Browns","tidal","neuston","Confluence",2017,1.23285230865812,0.615241166889883,0.102540194481647,6
"20","Browns","tidal","neuston","Confluence",2018,1.18489039687069,0.4648817822587,0.09297635645174,5
"21","Browns","tidal","vegetation","Confluence",2017,737.166666666667,511.799469489464,42.6499557907887,12
"22","Browns","tidal","vegetation","Confluence",2018,62,59.454184041159,9.90903067352649,6
"23","Decker","muted","benthic","SacSanJ",2017,739.827373612824,NA,NA,1
"24","Decker","muted","benthic","SacSanJ",2018,82.203041512536,71.1899222182029,23.7299740727343,3
"25","Decker","muted","mysids","SacSanJ",2017,4.86886578105663,4.56567372532413,0.456567372532413,10
"26","Decker","muted","mysids","SacSanJ",2018,748.859551854474,1314.25386886013,109.521155738344,12
"27","Decker","muted","neuston","SacSanJ",2017,106.396837103094,273.133747440109,39.0191067771585,7
"28","Decker","muted","neuston","SacSanJ",2018,2.69973921464141,5.6438412911838,0.6270934767982,9
"29","Decker","muted","vegetation","SacSanJ",2017,1387.52,2494.76690828355,99.790676331342,25
"30","Decker","muted","vegetation","SacSanJ",2018,432.909090909091,636.721203439222,57.883745767202,11
"31","Flyway","diked","benthic","Cache",2018,246.609124537608,NA,NA,1
"32","Flyway","diked","vegetation","Cache",2018,140,161.164512222759,40.2911280556899,4
"33","Grizzly","channel","benthic","Grizzly",2017,894.660894660895,884.360949266642,294.786983088881,3
"34","Grizzly","channel","mysids","Grizzly",2017,0.631855658618424,0.464519379902618,0.0387099483252181,12
"35","Grizzly","channel","mysids","Grizzly",2018,7.64763955782684,9.01605910355345,0.901605910355345,10
"36","Grizzly","channel","neuston","Grizzly",2017,0.945136676373165,0.457321131075174,0.152440377025058,3
"37","Grizzly","channel","neuston","Grizzly",2018,0.50072742382793,0.787644082568368,0.112520583224053,7
"38","Grizzly","channel","vegetation","Grizzly",2018,8.5,6.36396103067893,3.18198051533946,2
"39","Honker","channel","mysids","Confluence",2018,0.764469729307348,NA,NA,1
"40","Honker","channel","neuston","Confluence",2018,0.109906366355267,NA,NA,1
"41","Horseshoe","channel","benthic","SacSanJ",2017,7301.5873015873,3899.1490424593,649.858173743217,6
"42","Horseshoe","channel","benthic","SacSanJ",2018,123.304562268804,0,0,2
"43","Horseshoe","channel","mysids","SacSanJ",2017,74.3321440117357,247.463748614591,20.6219790512159,12
"44","Horseshoe","channel","mysids","SacSanJ",2018,1.97164273307204,2.06363347647041,0.515908369117603,4
"45","Horseshoe","channel","neuston","SacSanJ",2017,5.73199636101352,9.9334657873472,1.65557763122453,6
"46","Horseshoe","channel","neuston","SacSanJ",2018,0.591699401008655,0.440094900125765,0.088018980025153,5
"47","Horseshoe","channel","vegetation","SacSanJ",2017,146.1,84.6830036731758,8.46830036731758,10
"48","Horseshoe","channel","vegetation","SacSanJ",2018,492.428571428571,384.947986591633,54.9925695130905,7
"49","LHB","channel","benthic","NurseDenverton",2018,259.74025974026,NA,NA,1
"50","LHB","channel","mysids","NurseDenverton",2017,6.10144357598002,4.20044869618284,1.05011217404571,4
"51","LHB","channel","mysids","NurseDenverton",2018,1.21476139457994,2.08214236598736,0.297448909426766,7
"52","LHB","channel","neuston","NurseDenverton",2018,0.649898668829305,0.497948648142999,0.0829914413571665,6
"53","LHB","channel","vegetation","NurseDenverton",2018,12,7.29383301152419,1.21563883525403,6
"54","Liberty","tidal","mysids","Cache",2018,7.79011256145539,11.276290381724,1.02511730742945,11
"55","Liberty","tidal","neuston","Cache",2018,5.02005096297509,3.57776025364184,0.596293375606974,6
"56","Liberty","tidal","vegetation","Cache",2018,53.1428571428571,50.8115097572344,7.25878710817634,7
"57","Lindsey","tidal","benthic","Cache",2017,2466.09124537608,NA,NA,1
"58","Lindsey","tidal","mysids","Cache",2017,81.2840785484307,127.850992575292,31.962748143823,4
"59","Lindsey","tidal","mysids","Cache",2018,8.98428809408385,15.2689126957345,3.81722817393363,4
"60","Lindsey","tidal","neuston","Cache",2017,0.274765915888167,0.171591259474971,0.0571970864916569,3
"61","Lindsey","tidal","vegetation","Cache",2017,548.8,377.758123671748,75.5516247343497,5
"62","Miner","channel","mysids","Cache",2017,7.42731937259399,4.27545378008044,1.06886344502011,4
"63","Miner","channel","mysids","Cache",2018,1.74623639129815,1.81136468445223,0.301894114075372,6
"64","Miner","channel","neuston","Cache",2018,10.7687528841148,17.297738512379,4.32443462809475,4
"65","Miner","channel","vegetation","Cache",2017,66.6666666666667,98.1495457622364,32.7165152540788,3
"66","Miner","channel","vegetation","Cache",2018,1865,3205.17129027452,1068.39043009151,3
"67","Prospect","muted","benthic","Cache",2018,123.304562268804,NA,NA,1
"68","Prospect","muted","mysids","Cache",2017,10.662204412814,16.0282127606035,1.60282127606035,10
"69","Prospect","muted","mysids","Cache",2018,11.791109105778,18.7666314487088,4.69165786217719,4
"70","Prospect","muted","neuston","Cache",2017,0.116775514252471,0.0725662974130345,0.0120943829021724,6
"71","Prospect","muted","vegetation","Cache",2017,306.555555555556,486.40774740132,27.0226526334067,18
"72","Prospect","muted","vegetation","Cache",2018,356.833333333333,142.049873870647,23.6749789784411,6
"73","Ryer","tidal","benthic","Grizzly",2017,793.650793650794,90.1154112323001,30.0384704107667,3
"74","Ryer","tidal","benthic","Grizzly",2018,476.190476190476,NA,NA,1
"75","Ryer","tidal","mysids","Grizzly",2017,1.81049448067438,0.206814894500095,0.0689382981666982,3
"76","Ryer","tidal","mysids","Grizzly",2018,139.149942295403,274.487433432367,54.8974866864735,5
"77","Ryer","tidal","neuston","Grizzly",2017,9.23224085040103,3.54839795930752,1.18279931976917,3
"78","Ryer","tidal","neuston","Grizzly",2018,10.6454800530884,10.6435377099132,2.12870754198263,5
"79","Ryer","tidal","vegetation","Grizzly",2017,311.5,477.028301047223,59.6285376309029,8
"80","Ryer","tidal","vegetation","Grizzly",2018,170.125,195.3885780402,24.423572255025,8
"81","Sherman","channel","mysids","Confluence",2017,2.33362671674407,2.47627252144729,0.619068130361824,4
"82","Stacys","tidal","benthic","SacSanJ",2017,20406.9050554871,3574.76917739192,1787.38458869596,2
"83","Stacys","tidal","mysids","SacSanJ",2017,0.456950684677536,0.236665592086131,0.118332796043065,2
"84","Stacys","tidal","mysids","SacSanJ",2018,17.1997297146218,22.1863558988043,3.69772598313405,6
"85","Stacys","tidal","neuston","SacSanJ",2017,0.754253842842962,0.5184605655737,0.172820188524567,3
"86","Stacys","tidal","neuston","SacSanJ",2018,0.0759175655936185,0.0593959321199331,0.0296979660599665,2
"87","Stacys","tidal","vegetation","SacSanJ",2017,313.777777777778,446.880235012072,49.6533594457857,9
"88","Stacys","tidal","vegetation","SacSanJ",2018,54,84.0416563377948,28.0138854459316,3
"89","Tule Red","diked","benthic","Grizzly",2017,98643.6498150432,99944.5660004053,19988.9132000811,5
"90","Tule Red","diked","benthic","Grizzly",2018,123.304562268804,174.37898426302,87.1894921315102,2
"91","Tule Red","diked","neuston","Grizzly",2018,1.03380675852923,0.600765794619418,0.150191448654855,4
"92","Tule Red","diked","vegetation","Grizzly",2017,2135.25,2395.64221929259,299.455277411574,8
"93","Tule Red","diked","vegetation","Grizzly",2018,213.166666666667,209.845101602746,34.9741836004576,6
"94","Winter","muted","benthic","Confluence",2017,12268.803945746,10279.7360270252,2569.9340067563,4
"95","Winter","muted","benthic","Confluence",2018,534.319769831484,608.24696206119,202.74898735373,3
"96","Winter","muted","mysids","Confluence",2017,3.45123806537376,2.6365377825991,0.878845927533034,3
"97","Winter","muted","mysids","Confluence",2018,97.0623025498644,263.512294774778,32.9390368468472,8
"98","Winter","muted","neuston","Confluence",2017,2.75223859081314,2.63016913230848,0.876723044102827,3
"99","Winter","muted","neuston","Confluence",2018,29.5024084818343,23.912781533919,4.7825563067838,5
"100","Winter","muted","vegetation","Confluence",2017,231.538461538462,327.01799527055,25.1552304054269,13
"101","Winter","muted","vegetation","Confluence",2018,2.5,2.12132034355964,1.06066017177982,2
