Zoo Code,CommonName,Phylum,Order,Family,Genus,Species
400,Achnanthidium sp.,Bacillariophyta,Cocconeidales,Achnanthidiaceae,Achnanthidium,
401,Actinastrum hantzschii,Chlorophyta,Chlorellales,Chlorellaceae,Actinastrum,hantzschii
402,Amphora sp.,Bacillariophyta,Thalassiophysales,Catenulaceae,Amphora,
403,Anabaena sp.,Cyanobacteria,Nostocales,Nostocaceae,Anabaena,
404,Ankistrodesmus sp.,Chlorophyta,Sphaeropleales,Selenastraceae,Ankistrodesmus,
405,Aphanocapsa sp.,Cyanobacteria,Synechococcales,Merismopediaceae,Aphanocapsa,
406,Arthrospira sp.,Cyanobacteria,Oscillatoriales,Microcoleaceae,Arthrospira,
407,Asterionella formosa,Bacillariophyta,Tabellariales,Tabellariaceae,Asterionella,formosa
408,Aulacoseira sp.,Bacillariophyta,Aulacoseirales,Aulacoseiraceae,Aulacoseira,
409,Bacillaria paradoxa,Bacillariophyta,Bacillariales,Bacillariaceae,Bacillaria,paradoxa
410,Bacillaria sp.,Bacillariophyta,Bacillariales,Bacillariaceae,Bacillaria,
411,Biddulphia sp.,Bacillariophyta,Biddulphiales,Biddulphiaceae,Biddulphia,
412,Bitrichia chodatii,Ochrophyta,Hibberdiales,Stylococcaceae,Bitrichia,chodatii
413,Borzia sp.,Cyanobacteria,Oscillatoriales,Borziaceae,Borzia,
414,Brachysira sp.,Bacillariophyta,Naviculales,Brachysiraceae,Brachysira,
415,Calothrix sp.,Cyanobacteria,Nostocales,Rivulariaceae,Calothrix,
416,Carteria sp.,Chlorophyta,Chlamydomonadales,Chlamydomonadaceae,Carteria,
417,Chaetoceros sp.,Bacillariophyta,Chaetocerotales,Chaetocerotaceae,Chaetoceros,
418,Chlamydomonas grovei,Chlorophyta,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,grovei
419,Chlorella ellipsoidea,Chlorophyta,Chlorellales,Chlorellaceae,Chlorella,ellipsoidea
420,Chroococcus sp.,Cyanobacteria,Chroococcales,Chroococcaceae,Chroococcus,
421,Chroomonas sp.,Cryptophyta,Pyrenomonadales,Chroomonadaceae,Chroomonas,
422,Chrysochromulina sp.,Haptophyta,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,
423,Chrysococcus sp.,Ochrophyta,Chromulinales,Dinobryaceae,Chrysococcus,
424,Cladophora glomerata,Chlorophyta,Cladophorales,Cladophoraceae,Cladophora,glomerata
425,Closterium sp.,Charophyta,Desmidiales,Closteriaceae,Closterium,
426,Cocconeis sp.,Bacillariophyta,Cocconeidales,Cocconeidaceae,Cocconeis,
427,Coelastrum sp.,Chlorophyta,Scenedesmaceae,Coelastroideae,Coelastrum,
